date,open,high,low,close,volume
1996-06-06,661.07,665.07,655.95,662.93,0
1996-06-07,662.93,665.6,658.61,660.82,0
1996-06-10,662.54,672.59,662.54,672.54,0
1996-06-11,0.0,0.0,0.0,672.54,0
1996-06-12,0.0,0.0,0.0,672.54,0
1996-06-13,672.54,688.76,672.54,688.52,0
1996-06-14,688.52,697.49,688.52,695.43,0
1996-06-17,695.25,698.14,690.81,690.81,0
1996-06-18,0.0,0.0,0.0,690.81,0
1996-06-19,0.0,0.0,0.0,690.81,0
1996-06-20,690.81,696.83,690.81,693.27,0
1996-06-21,693.27,696.51,687.86,687.86,0
1996-06-24,692.09,693.85,688.74,688.91,0
1996-06-25,0.0,0.0,0.0,688.91,0
1996-06-26,0.0,0.0,0.0,688.91,0
1996-06-27,0.0,0.0,0.0,688.91,0
1996-06-28,688.91,692.43,683.85,685.07,0
1996-07-01,684.04,694.27,684.04,692.39,0
1996-07-02,0.0,0.0,0.0,692.39,0
1996-07-03,692.39,693.96,687.04,689.25,0
1996-07-04,689.25,693.74,687.72,692.59,0
1996-07-05,692.59,700.3,689.67,699.35,0
1996-07-08,0.0,0.0,0.0,699.35,0
1996-07-09,0.0,0.0,0.0,699.35,0
1996-07-10,691.46,693.35,687.77,688.84,0
1996-07-11,688.84,696.57,688.84,690.94,0
1996-07-12,690.94,702.14,690.94,697.16,0
1996-07-15,0.0,0.0,0.0,697.16,0
1996-07-16,0.0,0.0,0.0,697.16,0
1996-07-17,681.13,684.26,676.84,678.44,0
1996-07-18,678.44,680.16,665.28,666.07,0
1996-07-19,666.07,673.75,665.26,667.72,0
1996-07-22,0.0,0.0,0.0,667.72,0
1996-07-23,0.0,0.0,0.0,667.72,0
1996-07-24,672.53,680.62,671.18,677.17,0
1996-07-25,677.17,678.55,667.68,668.04,0
1996-07-26,668.04,669.06,651.72,659.69,0
1996-07-29,0.0,0.0,0.0,659.69,0
1996-07-30,0.0,0.0,0.0,659.69,0
1996-07-31,0.0,0.0,0.0,659.69,0
1996-08-01,677.33,687.95,677.33,687.07,0
1996-08-02,687.07,687.07,680.14,680.17,0
1996-08-05,673.84,673.84,657.68,657.68,0
1996-08-06,0.0,0.0,0.0,657.68,0
1996-08-07,0.0,0.0,0.0,657.68,0
1996-08-08,657.68,665.12,655.52,656.0,0
1996-08-09,656.0,664.2,656.0,660.76,0
1996-08-12,635.78,642.86,625.09,635.06,0
1996-08-13,0.0,0.0,0.0,635.06,0
